Id	FCend	FCnorm	Dem_1	Dem_2	Dem_3	Dem_4	socF_1	socF_2	socF_3	socF_4
1	0.7449	0	0.2	0.4	0.4	0.4	0.7984	0.7929	0.7875	0.782
2	0.7449	0	0.2	0.4	0.4	0.6	0.7984	0.7929	0.7875	0.782
3	0.7449	0	0.2	0.4	0.4	0.8	0.7984	0.7929	0.7875	0.782
4	0.7449	0	0.2	0.4	0.4	1	0.7984	0.7929	0.7875	0.782
5	0.7449	0	0.2	0.4	0.6	0.4	0.7984	0.7929	0.7875	0.782
6	0.7449	0	0.2	0.4	0.6	0.6	0.7984	0.7929	0.7875	0.782
7	0.7449	0	0.2	0.4	0.6	0.8	0.7984	0.7929	0.7875	0.782
8	0.7449	0	0.2	0.4	0.6	1	0.7984	0.7929	0.7875	0.782
9	0.7449	0	0.2	0.4	0.8	0.4	0.7984	0.7929	0.7875	0.782
10	0.7449	0	0.2	0.4	0.8	0.6	0.7984	0.7929	0.7875	0.782
11	0.7449	0	0.2	0.4	0.8	0.8	0.7984	0.7929	0.7875	0.782
12	0.7449	0	0.2	0.4	0.8	1	0.7984	0.7929	0.7875	0.782
13	0.7449	0	0.2	0.4	1	0.4	0.7984	0.7929	0.7875	0.782
14	0.7449	0	0.2	0.4	1	0.6	0.7984	0.7929	0.7875	0.782
15	0.7449	0	0.2	0.4	1	0.8	0.7984	0.7929	0.7875	0.782
16	0.7449	0	0.2	0.4	1	1	0.7984	0.7929	0.7875	0.782
17	0.7449	0	0.2	0.6	0.4	0.4	0.7984	0.7929	0.7875	0.782
18	0.7449	0	0.2	0.6	0.4	0.6	0.7984	0.7929	0.7875	0.782
19	0.7449	0	0.2	0.6	0.4	0.8	0.7984	0.7929	0.7875	0.782
20	0.7449	0	0.2	0.6	0.4	1	0.7984	0.7929	0.7875	0.782
21	0.7449	0	0.2	0.6	0.6	0.4	0.7984	0.7929	0.7875	0.782
22	0.7449	0	0.2	0.6	0.6	0.6	0.7984	0.7929	0.7875	0.782
23	0.7449	0	0.2	0.6	0.6	0.8	0.7984	0.7929	0.7875	0.782
24	0.7449	0	0.2	0.6	0.6	1	0.7984	0.7929	0.7875	0.782
25	0.7449	0	0.2	0.6	0.8	0.4	0.7984	0.7929	0.7875	0.782
26	0.7449	0	0.2	0.6	0.8	0.6	0.7984	0.7929	0.7875	0.782
27	0.7449	0	0.2	0.6	0.8	0.8	0.7984	0.7929	0.7875	0.782
28	0.7449	0	0.2	0.6	0.8	1	0.7984	0.7929	0.7875	0.782
29	0.7449	0	0.2	0.6	1	0.4	0.7984	0.7929	0.7875	0.782
30	0.7449	0	0.2	0.6	1	0.6	0.7984	0.7929	0.7875	0.782
31	0.7449	0	0.2	0.6	1	0.8	0.7984	0.7929	0.7875	0.782
32	0.7449	0	0.2	0.6	1	1	0.7984	0.7929	0.7875	0.782
33	0.7449	0	0.2	0.8	0.4	0.4	0.7984	0.7929	0.7875	0.782
34	0.7449	0	0.2	0.8	0.4	0.6	0.7984	0.7929	0.7875	0.782
35	0.7449	0	0.2	0.8	0.4	0.8	0.7984	0.7929	0.7875	0.782
36	0.7449	0	0.2	0.8	0.4	1	0.7984	0.7929	0.7875	0.782
37	0.7449	0	0.2	0.8	0.6	0.4	0.7984	0.7929	0.7875	0.782
38	0.7449	0	0.2	0.8	0.6	0.6	0.7984	0.7929	0.7875	0.782
39	0.7449	0	0.2	0.8	0.6	0.8	0.7984	0.7929	0.7875	0.782
40	0.7449	0	0.2	0.8	0.6	1	0.7984	0.7929	0.7875	0.782
41	0.7449	0	0.2	0.8	0.8	0.4	0.7984	0.7929	0.7875	0.782
42	0.7449	0	0.2	0.8	0.8	0.6	0.7984	0.7929	0.7875	0.782
43	0.7449	0	0.2	0.8	0.8	0.8	0.7984	0.7929	0.7875	0.782
44	0.7449	0	0.2	0.8	0.8	1	0.7984	0.7929	0.7875	0.782
45	0.7449	0	0.2	0.8	1	0.4	0.7984	0.7929	0.7875	0.782
46	0.7449	0	0.2	0.8	1	0.6	0.7984	0.7929	0.7875	0.782
47	0.7449	0	0.2	0.8	1	0.8	0.7984	0.7929	0.7875	0.782
48	0.7449	0	0.2	0.8	1	1	0.7984	0.7929	0.7875	0.782
49	0.7449	0	0.2	1	0.4	0.4	0.7984	0.7929	0.7875	0.782
50	0.7449	0	0.2	1	0.4	0.6	0.7984	0.7929	0.7875	0.782
51	0.7449	0	0.2	1	0.4	0.8	0.7984	0.7929	0.7875	0.782
52	0.7449	0	0.2	1	0.4	1	0.7984	0.7929	0.7875	0.782
53	0.7449	0	0.2	1	0.6	0.4	0.7984	0.7929	0.7875	0.782
54	0.7449	0	0.2	1	0.6	0.6	0.7984	0.7929	0.7875	0.782
55	0.7449	0	0.2	1	0.6	0.8	0.7984	0.7929	0.7875	0.782
56	0.7449	0	0.2	1	0.6	1	0.7984	0.7929	0.7875	0.782
57	0.7449	0	0.2	1	0.8	0.4	0.7984	0.7929	0.7875	0.782
58	0.7449	0	0.2	1	0.8	0.6	0.7984	0.7929	0.7875	0.782
59	0.7449	0	0.2	1	0.8	0.8	0.7984	0.7929	0.7875	0.782
60	0.7449	0	0.2	1	0.8	1	0.7984	0.7929	0.7875	0.782
61	0.7449	0	0.2	1	1	0.4	0.7984	0.7929	0.7875	0.782
62	0.7449	0	0.2	1	1	0.6	0.7984	0.7929	0.7875	0.782
63	0.7449	0	0.2	1	1	0.8	0.7984	0.7929	0.7875	0.782
64	0.7449	0	0.2	1	1	1	0.7984	0.7929	0.7875	0.782
65	0.7449	0	0.4	0.4	0.4	0.4	0.7984	0.7929	0.7875	0.782
66	0.7449	0	0.4	0.4	0.4	0.6	0.7984	0.7929	0.7875	0.782
67	0.7449	0	0.4	0.4	0.4	0.8	0.7984	0.7929	0.7875	0.782
68	0.7449	0	0.4	0.4	0.4	1	0.7984	0.7929	0.7875	0.782
69	0.7449	0	0.4	0.4	0.6	0.4	0.7984	0.7929	0.7875	0.782
70	0.7449	0	0.4	0.4	0.6	0.6	0.7984	0.7929	0.7875	0.782
71	0.7449	0	0.4	0.4	0.6	0.8	0.7984	0.7929	0.7875	0.782
72	0.7449	0	0.4	0.4	0.6	1	0.7984	0.7929	0.7875	0.782
73	0.7449	0	0.4	0.4	0.8	0.4	0.7984	0.7929	0.7875	0.782
74	0.7449	0	0.4	0.4	0.8	0.6	0.7984	0.7929	0.7875	0.782
75	0.7449	0	0.4	0.4	0.8	0.8	0.7984	0.7929	0.7875	0.782
76	0.7449	0	0.4	0.4	0.8	1	0.7984	0.7929	0.7875	0.782
77	0.7449	0	0.4	0.4	1	0.4	0.7984	0.7929	0.7875	0.782
78	0.7449	0	0.4	0.4	1	0.6	0.7984	0.7929	0.7875	0.782
79	0.7449	0	0.4	0.4	1	0.8	0.7984	0.7929	0.7875	0.782
80	0.7449	0	0.4	0.4	1	1	0.7984	0.7929	0.7875	0.782
81	0.7449	0	0.4	0.6	0.4	0.4	0.7984	0.7929	0.7875	0.782
82	0.7449	0	0.4	0.6	0.4	0.6	0.7984	0.7929	0.7875	0.782
83	0.7449	0	0.4	0.6	0.4	0.8	0.7984	0.7929	0.7875	0.782
84	0.7449	0	0.4	0.6	0.4	1	0.7984	0.7929	0.7875	0.782
85	0.7449	0	0.4	0.6	0.6	0.4	0.7984	0.7929	0.7875	0.782
86	0.7449	0	0.4	0.6	0.6	0.6	0.7984	0.7929	0.7875	0.782
87	0.7449	0	0.4	0.6	0.6	0.8	0.7984	0.7929	0.7875	0.782
88	0.7449	0	0.4	0.6	0.6	1	0.7984	0.7929	0.7875	0.782
89	0.7449	0	0.4	0.6	0.8	0.4	0.7984	0.7929	0.7875	0.782
90	0.7449	0	0.4	0.6	0.8	0.6	0.7984	0.7929	0.7875	0.782
91	0.7449	0	0.4	0.6	0.8	0.8	0.7984	0.7929	0.7875	0.782
92	0.7449	0	0.4	0.6	0.8	1	0.7984	0.7929	0.7875	0.782
93	0.7449	0	0.4	0.6	1	0.4	0.7984	0.7929	0.7875	0.782
94	0.7449	0	0.4	0.6	1	0.6	0.7984	0.7929	0.7875	0.782
95	0.7449	0	0.4	0.6	1	0.8	0.7984	0.7929	0.7875	0.782
96	0.7449	0	0.4	0.6	1	1	0.7984	0.7929	0.7875	0.782
97	0.7449	0	0.4	0.8	0.4	0.4	0.7984	0.7929	0.7875	0.782
98	0.7449	0	0.4	0.8	0.4	0.6	0.7984	0.7929	0.7875	0.782
99	0.7449	0	0.4	0.8	0.4	0.8	0.7984	0.7929	0.7875	0.782
100	0.7449	0	0.4	0.8	0.4	1	0.7984	0.7929	0.7875	0.782
101	0.7449	0	0.4	0.8	0.6	0.4	0.7984	0.7929	0.7875	0.782
102	0.7449	0	0.4	0.8	0.6	0.6	0.7984	0.7929	0.7875	0.782
103	0.7449	0	0.4	0.8	0.6	0.8	0.7984	0.7929	0.7875	0.782
104	0.7449	0	0.4	0.8	0.6	1	0.7984	0.7929	0.7875	0.782
105	0.7449	0	0.4	0.8	0.8	0.4	0.7984	0.7929	0.7875	0.782
106	0.7449	0	0.4	0.8	0.8	0.6	0.7984	0.7929	0.7875	0.782
107	0.7449	0	0.4	0.8	0.8	0.8	0.7984	0.7929	0.7875	0.782
108	0.7449	0	0.4	0.8	0.8	1	0.7984	0.7929	0.7875	0.782
109	0.7449	0	0.4	0.8	1	0.4	0.7984	0.7929	0.7875	0.782
110	0.7449	0	0.4	0.8	1	0.6	0.7984	0.7929	0.7875	0.782
111	0.7449	0	0.4	0.8	1	0.8	0.7984	0.7929	0.7875	0.782
112	0.7449	0	0.4	0.8	1	1	0.7984	0.7929	0.7875	0.782
113	0.7449	0	0.4	1	0.4	0.4	0.7984	0.7929	0.7875	0.782
114	0.7449	0	0.4	1	0.4	0.6	0.7984	0.7929	0.7875	0.782
115	0.7449	0	0.4	1	0.4	0.8	0.7984	0.7929	0.7875	0.782
116	0.7449	0	0.4	1	0.4	1	0.7984	0.7929	0.7875	0.782
117	0.7449	0	0.4	1	0.6	0.4	0.7984	0.7929	0.7875	0.782
118	0.7449	0	0.4	1	0.6	0.6	0.7984	0.7929	0.7875	0.782
119	0.7449	0	0.4	1	0.6	0.8	0.7984	0.7929	0.7875	0.782
120	0.7449	0	0.4	1	0.6	1	0.7984	0.7929	0.7875	0.782
121	0.7449	0	0.4	1	0.8	0.4	0.7984	0.7929	0.7875	0.782
122	0.7449	0	0.4	1	0.8	0.6	0.7984	0.7929	0.7875	0.782
123	0.7449	0	0.4	1	0.8	0.8	0.7984	0.7929	0.7875	0.782
124	0.7449	0	0.4	1	0.8	1	0.7984	0.7929	0.7875	0.782
125	0.7449	0	0.4	1	1	0.4	0.7984	0.7929	0.7875	0.782
126	0.7449	0	0.4	1	1	0.6	0.7984	0.7929	0.7875	0.782
127	0.7449	0	0.4	1	1	0.8	0.7984	0.7929	0.7875	0.782
128	0.7449	0	0.4	1	1	1	0.7984	0.7929	0.7875	0.782
129	0.7449	0	0.6	0.4	0.4	0.4	0.7984	0.7929	0.7875	0.782
