Id	FCend	FCnorm	Dem_1	Dem_2	Dem_3	Dem_4	Dem_5	Dem_6	socF_1	socF_2	socF_3	socF_4	socF_5	socF_6
1	50.7837	0	0.4	0.6	0.2	0.6	0.6	0.6	0.7249	0.6515	0.624	0.4902	0.3508	0.2008
2	50.7837	0	0.4	0.6	0.2	0.6	0.6	0.8	0.7249	0.6515	0.624	0.4902	0.3508	0.2008
3	50.7837	0	0.4	0.6	0.2	0.6	0.6	1	0.7249	0.6515	0.624	0.4902	0.3508	0.2008
4	50.7837	0	0.4	0.6	0.2	0.6	0.8	0.6	0.7249	0.6515	0.624	0.4902	0.3508	0.2008
5	50.7837	0	0.4	0.6	0.2	0.6	0.8	0.8	0.7249	0.6515	0.624	0.4902	0.3508	0.2008
6	50.7837	0	0.4	0.6	0.2	0.6	0.8	1	0.7249	0.6515	0.624	0.4902	0.3508	0.2008
7	50.7837	0	0.4	0.6	0.2	0.6	1	0.6	0.7249	0.6515	0.624	0.4902	0.3508	0.2008
8	50.7837	0	0.4	0.6	0.2	0.6	1	0.8	0.7249	0.6515	0.624	0.4902	0.3508	0.2008
9	50.7837	0	0.4	0.6	0.2	0.6	1	1	0.7249	0.6515	0.624	0.4902	0.3508	0.2008
10	50.7837	0	0.4	0.6	0.2	0.8	0.6	0.6	0.7249	0.6515	0.624	0.4902	0.3508	0.2008
11	50.7837	0	0.4	0.6	0.2	0.8	0.6	0.8	0.7249	0.6515	0.624	0.4902	0.3508	0.2008
12	50.7837	0	0.4	0.6	0.2	0.8	0.6	1	0.7249	0.6515	0.624	0.4902	0.3508	0.2008
13	50.7837	0	0.4	0.6	0.2	0.8	0.8	0.6	0.7249	0.6515	0.624	0.4902	0.3508	0.2008
14	50.7837	0	0.4	0.6	0.2	0.8	0.8	0.8	0.7249	0.6515	0.624	0.4902	0.3508	0.2008
15	50.7837	0	0.4	0.6	0.2	0.8	0.8	1	0.7249	0.6515	0.624	0.4902	0.3508	0.2008
16	50.7837	0	0.4	0.6	0.2	0.8	1	0.6	0.7249	0.6515	0.624	0.4902	0.3508	0.2008
17	50.7837	0	0.4	0.6	0.2	0.8	1	0.8	0.7249	0.6515	0.624	0.4902	0.3508	0.2008
18	50.7837	0	0.4	0.6	0.2	0.8	1	1	0.7249	0.6515	0.624	0.4902	0.3508	0.2008
19	50.7837	0	0.4	0.6	0.2	1	0.6	0.6	0.7249	0.6515	0.624	0.4902	0.3508	0.2008
20	50.7837	0	0.4	0.6	0.2	1	0.6	0.8	0.7249	0.6515	0.624	0.4902	0.3508	0.2008
21	50.7837	0	0.4	0.6	0.2	1	0.6	1	0.7249	0.6515	0.624	0.4902	0.3508	0.2008
22	50.7837	0	0.4	0.6	0.2	1	0.8	0.6	0.7249	0.6515	0.624	0.4902	0.3508	0.2008
23	50.7837	0	0.4	0.6	0.2	1	0.8	0.8	0.7249	0.6515	0.624	0.4902	0.3508	0.2008
24	50.7837	0	0.4	0.6	0.2	1	0.8	1	0.7249	0.6515	0.624	0.4902	0.3508	0.2008
25	50.7837	0	0.4	0.6	0.2	1	1	0.6	0.7249	0.6515	0.624	0.4902	0.3508	0.2008
26	50.7837	0	0.4	0.6	0.2	1	1	0.8	0.7249	0.6515	0.624	0.4902	0.3508	0.2008
27	50.7837	0	0.4	0.6	0.2	1	1	1	0.7249	0.6515	0.624	0.4902	0.3508	0.2008
28	50.7837	0	0.6	0.6	0.2	0.6	0.6	0.6	0.7249	0.6515	0.624	0.4902	0.3508	0.2008
29	50.7837	0	0.6	0.6	0.2	0.6	0.6	0.8	0.7249	0.6515	0.624	0.4902	0.3508	0.2008
30	50.7837	0	0.6	0.6	0.2	0.6	0.6	1	0.7249	0.6515	0.624	0.4902	0.3508	0.2008
31	50.7837	0	0.6	0.6	0.2	0.6	0.8	0.6	0.7249	0.6515	0.624	0.4902	0.3508	0.2008
32	50.7837	0	0.6	0.6	0.2	0.6	0.8	0.8	0.7249	0.6515	0.624	0.4902	0.3508	0.2008
33	50.7837	0	0.6	0.6	0.2	0.6	0.8	1	0.7249	0.6515	0.624	0.4902	0.3508	0.2008
34	50.7837	0	0.6	0.6	0.2	0.6	1	0.6	0.7249	0.6515	0.624	0.4902	0.3508	0.2008
35	50.7837	0	0.6	0.6	0.2	0.6	1	0.8	0.7249	0.6515	0.624	0.4902	0.3508	0.2008
36	50.7837	0	0.6	0.6	0.2	0.6	1	1	0.7249	0.6515	0.624	0.4902	0.3508	0.2008
37	50.7837	0	0.6	0.6	0.2	0.8	0.6	0.6	0.7249	0.6515	0.624	0.4902	0.3508	0.2008
38	50.7837	0	0.6	0.6	0.2	0.8	0.6	0.8	0.7249	0.6515	0.624	0.4902	0.3508	0.2008
39	50.7837	0	0.6	0.6	0.2	0.8	0.6	1	0.7249	0.6515	0.624	0.4902	0.3508	0.2008
40	50.7837	0	0.6	0.6	0.2	0.8	0.8	0.6	0.7249	0.6515	0.624	0.4902	0.3508	0.2008
41	50.7837	0	0.6	0.6	0.2	0.8	0.8	0.8	0.7249	0.6515	0.624	0.4902	0.3508	0.2008
42	50.7837	0	0.6	0.6	0.2	0.8	0.8	1	0.7249	0.6515	0.624	0.4902	0.3508	0.2008
43	50.7837	0	0.6	0.6	0.2	0.8	1	0.6	0.7249	0.6515	0.624	0.4902	0.3508	0.2008
44	50.7837	0	0.6	0.6	0.2	0.8	1	0.8	0.7249	0.6515	0.624	0.4902	0.3508	0.2008
45	50.7837	0	0.6	0.6	0.2	0.8	1	1	0.7249	0.6515	0.624	0.4902	0.3508	0.2008
46	50.7837	0	0.6	0.6	0.2	1	0.6	0.6	0.7249	0.6515	0.624	0.4902	0.3508	0.2008
47	50.7837	0	0.6	0.6	0.2	1	0.6	0.8	0.7249	0.6515	0.624	0.4902	0.3508	0.2008
48	50.7837	0	0.6	0.6	0.2	1	0.6	1	0.7249	0.6515	0.624	0.4902	0.3508	0.2008
49	50.7837	0	0.6	0.6	0.2	1	0.8	0.6	0.7249	0.6515	0.624	0.4902	0.3508	0.2008
50	50.7837	0	0.6	0.6	0.2	1	0.8	0.8	0.7249	0.6515	0.624	0.4902	0.3508	0.2008
51	50.7837	0	0.6	0.6	0.2	1	0.8	1	0.7249	0.6515	0.624	0.4902	0.3508	0.2008
52	50.7837	0	0.6	0.6	0.2	1	1	0.6	0.7249	0.6515	0.624	0.4902	0.3508	0.2008
53	50.7837	0	0.6	0.6	0.2	1	1	0.8	0.7249	0.6515	0.624	0.4902	0.3508	0.2008
54	50.7837	0	0.6	0.6	0.2	1	1	1	0.7249	0.6515	0.624	0.4902	0.3508	0.2008
55	50.7837	0	0.8	0.6	0.2	0.6	0.6	0.6	0.7249	0.6515	0.624	0.4902	0.3508	0.2008
56	50.7837	0	0.8	0.6	0.2	0.6	0.6	0.8	0.7249	0.6515	0.624	0.4902	0.3508	0.2008
57	50.7837	0	0.8	0.6	0.2	0.6	0.6	1	0.7249	0.6515	0.624	0.4902	0.3508	0.2008
58	50.7837	0	0.8	0.6	0.2	0.6	0.8	0.6	0.7249	0.6515	0.624	0.4902	0.3508	0.2008
59	50.7837	0	0.8	0.6	0.2	0.6	0.8	0.8	0.7249	0.6515	0.624	0.4902	0.3508	0.2008
60	50.7837	0	0.8	0.6	0.2	0.6	0.8	1	0.7249	0.6515	0.624	0.4902	0.3508	0.2008
61	50.7837	0	0.8	0.6	0.2	0.6	1	0.6	0.7249	0.6515	0.624	0.4902	0.3508	0.2008
62	50.7837	0	0.8	0.6	0.2	0.6	1	0.8	0.7249	0.6515	0.624	0.4902	0.3508	0.2008
63	50.7837	0	0.8	0.6	0.2	0.6	1	1	0.7249	0.6515	0.624	0.4902	0.3508	0.2008
64	50.7837	0	0.8	0.6	0.2	0.8	0.6	0.6	0.7249	0.6515	0.624	0.4902	0.3508	0.2008
65	50.7837	0	0.8	0.6	0.2	0.8	0.6	0.8	0.7249	0.6515	0.624	0.4902	0.3508	0.2008
66	50.7837	0	0.8	0.6	0.2	0.8	0.6	1	0.7249	0.6515	0.624	0.4902	0.3508	0.2008
67	50.7837	0	0.8	0.6	0.2	0.8	0.8	0.6	0.7249	0.6515	0.624	0.4902	0.3508	0.2008
68	50.7837	0	0.8	0.6	0.2	0.8	0.8	0.8	0.7249	0.6515	0.624	0.4902	0.3508	0.2008
69	50.7837	0	0.8	0.6	0.2	0.8	0.8	1	0.7249	0.6515	0.624	0.4902	0.3508	0.2008
70	50.7837	0	0.8	0.6	0.2	0.8	1	0.6	0.7249	0.6515	0.624	0.4902	0.3508	0.2008
71	50.7837	0	0.8	0.6	0.2	0.8	1	0.8	0.7249	0.6515	0.624	0.4902	0.3508	0.2008
72	50.7837	0	0.8	0.6	0.2	0.8	1	1	0.7249	0.6515	0.624	0.4902	0.3508	0.2008
73	50.7837	0	0.8	0.6	0.2	1	0.6	0.6	0.7249	0.6515	0.624	0.4902	0.3508	0.2008
74	50.7837	0	0.8	0.6	0.2	1	0.6	0.8	0.7249	0.6515	0.624	0.4902	0.3508	0.2008
75	50.7837	0	0.8	0.6	0.2	1	0.6	1	0.7249	0.6515	0.624	0.4902	0.3508	0.2008
76	50.7837	0	0.8	0.6	0.2	1	0.8	0.6	0.7249	0.6515	0.624	0.4902	0.3508	0.2008
77	50.7837	0	0.8	0.6	0.2	1	0.8	0.8	0.7249	0.6515	0.624	0.4902	0.3508	0.2008
78	50.7837	0	0.8	0.6	0.2	1	0.8	1	0.7249	0.6515	0.624	0.4902	0.3508	0.2008
79	50.7837	0	0.8	0.6	0.2	1	1	0.6	0.7249	0.6515	0.624	0.4902	0.3508	0.2008
80	50.7837	0	0.8	0.6	0.2	1	1	0.8	0.7249	0.6515	0.624	0.4902	0.3508	0.2008
81	50.7837	0	0.8	0.6	0.2	1	1	1	0.7249	0.6515	0.624	0.4902	0.3508	0.2008
82	50.7837	0	1	0.6	0.2	0.6	0.6	0.6	0.7249	0.6515	0.624	0.4902	0.3508	0.2008
83	50.7837	0	1	0.6	0.2	0.6	0.6	0.8	0.7249	0.6515	0.624	0.4902	0.3508	0.2008
84	50.7837	0	1	0.6	0.2	0.6	0.6	1	0.7249	0.6515	0.624	0.4902	0.3508	0.2008
85	50.7837	0	1	0.6	0.2	0.6	0.8	0.6	0.7249	0.6515	0.624	0.4902	0.3508	0.2008
86	50.7837	0	1	0.6	0.2	0.6	0.8	0.8	0.7249	0.6515	0.624	0.4902	0.3508	0.2008
87	50.7837	0	1	0.6	0.2	0.6	0.8	1	0.7249	0.6515	0.624	0.4902	0.3508	0.2008
88	50.7837	0	1	0.6	0.2	0.6	1	0.6	0.7249	0.6515	0.624	0.4902	0.3508	0.2008
89	50.7837	0	1	0.6	0.2	0.6	1	0.8	0.7249	0.6515	0.624	0.4902	0.3508	0.2008
90	50.7837	0	1	0.6	0.2	0.6	1	1	0.7249	0.6515	0.624	0.4902	0.3508	0.2008
91	50.7837	0	1	0.6	0.2	0.8	0.6	0.6	0.7249	0.6515	0.624	0.4902	0.3508	0.2008
92	50.7837	0	1	0.6	0.2	0.8	0.6	0.8	0.7249	0.6515	0.624	0.4902	0.3508	0.2008
93	50.7837	0	1	0.6	0.2	0.8	0.6	1	0.7249	0.6515	0.624	0.4902	0.3508	0.2008
94	50.7837	0	1	0.6	0.2	0.8	0.8	0.6	0.7249	0.6515	0.624	0.4902	0.3508	0.2008
95	50.7837	0	1	0.6	0.2	0.8	0.8	0.8	0.7249	0.6515	0.624	0.4902	0.3508	0.2008
96	50.7837	0	1	0.6	0.2	0.8	0.8	1	0.7249	0.6515	0.624	0.4902	0.3508	0.2008
97	50.7837	0	1	0.6	0.2	0.8	1	0.6	0.7249	0.6515	0.624	0.4902	0.3508	0.2008
98	50.7837	0	1	0.6	0.2	0.8	1	0.8	0.7249	0.6515	0.624	0.4902	0.3508	0.2008
99	50.7837	0	1	0.6	0.2	0.8	1	1	0.7249	0.6515	0.624	0.4902	0.3508	0.2008
100	50.7837	0	1	0.6	0.2	1	0.6	0.6	0.7249	0.6515	0.624	0.4902	0.3508	0.2008
101	50.7837	0	1	0.6	0.2	1	0.6	0.8	0.7249	0.6515	0.624	0.4902	0.3508	0.2008
102	50.7837	0	1	0.6	0.2	1	0.6	1	0.7249	0.6515	0.624	0.4902	0.3508	0.2008
103	50.7837	0	1	0.6	0.2	1	0.8	0.6	0.7249	0.6515	0.624	0.4902	0.3508	0.2008
104	50.7837	0	1	0.6	0.2	1	0.8	0.8	0.7249	0.6515	0.624	0.4902	0.3508	0.2008
105	50.7837	0	1	0.6	0.2	1	0.8	1	0.7249	0.6515	0.624	0.4902	0.3508	0.2008
106	50.7837	0	1	0.6	0.2	1	1	0.6	0.7249	0.6515	0.624	0.4902	0.3508	0.2008
107	50.7837	0	1	0.6	0.2	1	1	0.8	0.7249	0.6515	0.624	0.4902	0.3508	0.2008
108	50.7837	0	1	0.6	0.2	1	1	1	0.7249	0.6515	0.624	0.4902	0.3508	0.2008
109	51.6735	0.0068	0.4	0.6	0.6	0.6	0.6	0.4	0.7249	0.6515	0.5661	0.4294	0.2852	0.2084
110	51.6735	0.0068	0.4	0.6	0.6	0.6	0.8	0.4	0.7249	0.6515	0.5661	0.4294	0.2852	0.2084
